"Base Word",Guideword,Level,"Part of Speech",YLE,YLE
clothes,,A1,,Starters,
and,ALSO,A1,,Starters,
and,AFTER,A1,,Starters,
but,"DIFFERENT STATEMENT",A1,,Starters,
and,NUMBERS,A1,,Starters,
as,JOB,A1,,Flyers,
as,USE,A2,,Flyers,
before,EARLIER,A2,,Flyers,
after,,B1,,Flyers,
because,,A1,,Movers,
cattle,,B1,,,
albeit,,C2,,,
and,"AFTER VERB",A2,,,
as,BECAUSE,A2,,,
although,BUT,B1,,,
although,DESPITE,B1,,,
and,EMPHASIZE,B1,,,
close,,B1,,,
as,"BEING OR APPEARING",B1,,,
as,WHILE,B1,,,
as,LIKE,B1,,,
before,"TO AVOID SOMETHING",B1,,,
before,UNTIL,B1,,,
but,"EXPLAINING WHY",B1,,,
eight,,A1,,,
eighteen,,A1,,,
eleven,,A1,,,
eighth,,A2,,,
eighty,,A2,,,
if,DEPENDING,A2,,Flyers,
hundred,NUMBER,A2,,Movers,
fifteen,,A1,,,
five,,A1,,,
four,,A1,,,
fourteen,,A1,,,
fifth,,A2,,,
fifty,,A2,,,
forty,NUMBER,A2,,,
fourth,,A2,,,
if,ALWAYS,B1,,,
if,MIGHT,B1,,,
if,WHETHER,B1,,,
if,"WOULD/MIGHT/COULD HAVE",B2,,,
however,,C2,,,
million,NUMBER,A2,,Flyers,
"insofar as",,C2,,,
like,,B1,,,
nine,,A1,,,
nineteen,,A1,,,
ninety,NUMBER,A2,,,
ninth,,A2,,,
now,,B2,,,
or,POSSIBILITIES,A1,,Starters,
or,"NOT EITHER",A2,,Starters,
one,,A1,,Starters,
or,WARNING,B1,,,
or,CHANGE,B2,,,
"provided (that)",,B2,,,
only,,C2,,,
politically,,C1,,,
plus,,B1,,,
once,,B2,,,
or,REASON,C1,,,
so,"SENTENCE BEGINNING",A2,,Starters,
so,REASON,A2,,Flyers,
second,"AFTER FIRST",A1,,Movers,
seventy,,A2,,,
second,ANOTHER,B1,,,
seven,,A1,,,
seventeen,,A1,,,
six,,A1,,,
sixteen,,A1,,,
ten,,A1,,,
seventh,,A2,,,
sixth,,A2,,,
sixty,,A2,,,
second,"ONLY ONE BETTER/BIGGER, ETC.",B1,,,
since,TIME,B1,,,
since,BECAUSE,B1,,,
zero,NUMBER,A2,,Flyers,
thousand,NUMBER,A2,,Flyers,
while,DURING,A2,,Flyers,
third,,A2,,Movers,
when,"AT WHAT TIME",A2,,Movers,
while,ALTHOUGH,B2,,,
while,COMPARING,B1,,,
whereas,,B2,,,
zero,TEMPERATURE,B1,,,
thirteen,,A1,,,
three,,A1,,,
to,INFINITIVE,A1,,,
twelve,,A1,,,
twenty,NUMBER,A1,,,
two,NUMBER,A1,,,
that,,A2,,,
thirty,,A2,,,
to,REASON,A2,,,
to,"INSTEAD OF VERB",A2,,,
where,POSITION,A2,,,
though,DESPITE,B1,,,
till,,B1,,,
unless,,B1,,,
until,TIME,B1,,,
until,DIRECTIONS,B1,,,
whenever,"EVERY TIME",B1,,,
wherever,"EVERY PLACE",B1,,,
whether,IF,B1,,,
yet,,B1,,,
though,BUT,B2,,,
when,ALTHOUGH,B2,,,
where,PROCESS/ACTIVITY,B2,,,
bike,MOTORCYCLE,B1,noun,Starters,
animal,"NOT A HUMAN",A1,noun,Starters,
bird,,A1,noun,Starters,
cat,,A1,noun,Starters,
baby,ANIMAL,A2,noun,Starters,
bear,,A2,noun,Starters,
chicken,BIRD,A2,noun,Starters,
bee,,B1,noun,Starters,
book,"FOR READING",A1,noun,Starters,
camera,,A1,noun,Starters,
arm,BODY,A1,noun,Starters,
body,PERSON,A1,noun,Starters,
boot,SHOE,A2,noun,Starters,
answer,REACTION,A1,noun,Starters,
alphabet,,B1,noun,Starters,
answer,DOOR/TELEPHONE,A2,noun,Starters,
answer,REACT,A1,verb,Starters,
ask,QUESTION,A1,verb,Starters,
answer,DOOR/PHONE,A2,verb,Starters,
class,LESSON,A1,noun,Starters,
bean,,A2,noun,Starters,
burger,,A2,noun,Starters,
bread,,A1,noun,Starters,
apple,,A1,noun,Starters,
banana,,A1,noun,Starters,
breakfast,,A1,noun,Starters,
cake,FOOD,A1,noun,Starters,
chocolate,FOOD,A1,noun,Starters,
carrot,VEGETABLE,A2,noun,Starters,
bath,CONTAINER,A1,noun,Starters,
bathroom,ROOM,A1,noun,Starters,
bedroom,,A1,noun,Starters,
chair,,A1,noun,Starters,
apartment,,A2,noun,Starters,
armchair,,A2,noun,Starters,
bookcase,,A2,noun,Starters,
bed,"FOR SLEEP",A1,noun,Starters,
beach,,A1,noun,Starters,
bath,WASH,A1,noun,Starters,
clean,,A1,verb,Starters,
add,"PUT WITH",A2,verb,Starters,
add,CALCULATE,A2,verb,Starters,
catch,"TAKE HOLD",A1,verb,Starters,
choose,,A1,verb,Starters,
close,DOOR/WINDOW,A1,verb,Starters,
clap,,B1,verb,Starters,
baby,CHILD,A1,noun,Starters,
boy,,A1,noun,Starters,
birthday,,A1,noun,Starters,
brother,,A1,noun,Starters,
bag,,A1,noun,Starters,
ball,"ROUND OBJECT",A1,noun,Starters,
box,CONTAINER,A1,noun,Starters,
bat,STICK,A2,noun,Starters,
"board game",,A2,noun,Starters,
bookshop,,A2,noun,Starters,
badminton,,A2,noun,Starters,
basketball,,A1,noun,Starters,
baseball,,A2,noun,Starters,
boat,"FOR TRAVEL ON WATER",A1,noun,Starters,
bus,,A1,noun,Starters,
car,,A1,noun,Starters,
bike,BICYCLE,A2,noun,Starters,
board,CLASSROOM,A1,noun,Starters,
child,,A1,noun,Starters,
classroom,,A1,noun,Starters,
clock,TIME,A1,noun,Starters,
answer,TEST,A2,noun,Starters,
balloon,,A2,noun,Starters,
box,"SQUARE SPACE",A2,noun,Starters,
classmate,,A2,noun,Starters,
butterfly,,B1,noun,Flyers,
camel,,B1,noun,Flyers,
cartoon,FILM,A2,noun,Flyers,
cartoon,DRAWING,A2,noun,Flyers,
channel,TV,A2,noun,Flyers,
art,"PAINTINGS/DRAWINGS, ETC.",A2,noun,Flyers,
act,PERFORM,B1,verb,Flyers,
bandage,,B1,noun,Flyers,
burn,"HURT BODY",B1,verb,Flyers,
belt,CLOTHING,A2,noun,Flyers,
bracelet,,B1,noun,Flyers,
card,GREETINGS,A2,noun,Flyers,
chat,TALK,A2,verb,Flyers,
agree,"SAME OPINION",A2,verb,Flyers,
biscuit,,A1,noun,Flyers,
butter,,A1,noun,Flyers,
cereal,"BREAKFAST FOOD",A2,noun,Flyers,
burn,"COOK TOO LONG",B1,verb,Flyers,
castle,,A2,noun,Flyers,
bin,,B1,noun,Flyers,
bank,MONEY,A1,noun,Flyers,
borrow,GET,A2,verb,Flyers,
cave,,B1,noun,Flyers,
air,GAS,A2,noun,Flyers,
autumn,,A2,noun,Flyers,
act,BEHAVE,B1,verb,Flyers,
brush,CLEAN/TIDY,A2,verb,Flyers,
bit,"SMALL AMOUNT",A2,noun,Flyers,
believe,TRUE,A2,verb,Flyers,
card,GAME,A2,noun,Flyers,
business,SELLING,A1,noun,Flyers,
chess,,A2,noun,Flyers,
airport,,A2,noun,Flyers,
bicycle,,A2,noun,Flyers,
air,AIRCRAFT,A2,noun,Flyers,
adventure,,A2,noun,Flyers,
camp,,A2,verb,Flyers,
business,ORGANIZATION,A2,noun,Flyers,
businessman,,A2,noun,Flyers,
businesswoman,,A2,noun,Flyers,
artist,,A2,noun,Flyers,
chemist,SHOP,A2,noun,Flyers,
actor,,A2,noun,Flyers,
ambulance,,A2,noun,Flyers,
bridge,STRUCTURE,A2,noun,Flyers,
brush,TOOL,A2,noun,Flyers,
calendar,,A2,noun,Flyers,
century,,A2,noun,Flyers,
backpack,,B1,noun,Flyers,
bat,ANIMAL,B1,noun,Movers,
cage,,B1,noun,Movers,
